code_cip13,quantite,numero_lot,date_peremption,date_mise_a_jour,seuil_alerte,emplacement
3400949497294,941,FR8538,2026-08-22,2025-03-27,166,Aisle-18-A
3400949497706,926,AZ2672,2025-10-02,2025-03-27,126,Aisle-17-A
3400936963504,342,WB9319,2028-02-20,2025-03-27,113,Aisle-11-D
3400936145825,226,ZX8535,2025-11-25,2025-03-27,25,Aisle-10-C
3400939725192,121,HP8174,2027-12-01,2025-03-27,66,Aisle-6-A
3400955074199,143,DY3123,2025-07-15,2025-03-27,101,Aisle-6-D
3400930116791,347,WS0586,2025-09-06,2025-03-27,171,Aisle-5-B
3400935510259,113,ON2380,2025-10-27,2025-03-27,189,Aisle-19-B
3400949444137,833,YA2419,2027-09-27,2025-03-27,178,Aisle-16-A
3400949444946,215,ID3813,2026-12-18,2025-03-27,153,Aisle-9-C
3400936377554,301,NO4426,2026-06-25,2025-03-27,200,Aisle-4-A
3400930168592,919,NO9317,2028-03-19,2025-03-27,50,Aisle-4-D
3400932363704,249,RE5949,2026-12-03,2025-03-27,142,Aisle-18-A
3400932363872,840,UQ4342,2026-04-08,2025-03-27,119,Aisle-2-A
3400930167298,666,CS5626,2026-01-20,2025-03-27,100,Aisle-11-C
3400930167304,955,ZT1010,2026-03-24,2025-03-27,110,Aisle-4-A
3400955060598,612,JC5914,2026-12-05,2025-03-27,129,Aisle-15-B
3400936694651,114,OW2562,2027-02-28,2025-03-27,195,Aisle-4-D
3400938093346,256,IJ6174,2027-05-20,2025-03-27,24,Aisle-11-A
3400933783310,905,TD0939,2025-04-20,2025-03-27,26,Aisle-18-B
3400926617110,293,RF5170,2026-05-01,2025-03-27,105,Aisle-19-C
3400937405942,595,VR6452,2026-06-21,2025-03-27,181,Aisle-2-C
3400936571204,644,VJ6294,2027-01-23,2025-03-27,142,Aisle-6-A
3400936513303,162,NM3539,2026-06-03,2025-03-27,175,Aisle-6-D
3400956582013,478,HO4745,2025-06-17,2025-03-27,61,Aisle-3-C
3400930100998,833,JR6461,2025-03-28,2025-03-27,198,Aisle-17-C
3400930101001,193,UE8326,2026-10-27,2025-03-27,191,Aisle-12-A
3400927943812,159,OZ3127,2026-06-21,2025-03-27,171,Aisle-3-B
3400927944123,153,EN8781,2026-07-22,2025-03-27,176,Aisle-6-A
3400932029808,607,GO3889,2027-02-05,2025-03-27,181,Aisle-16-A
