Code CIS,Code CIP13,Code statut,Libellé statut,Date de début,Date mise à jour,Date remise à disposition,Lien ANSM
69225686,,1,Rupture de stock,14/02/2025,03/03/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/neupogen30mu03mgmlsolutioninjectablefilgrastim
60941378,,1,Rupture de stock,12/12/2024,28/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/iopidine05collyreensolutionapraclonidinechlorhydrated
68451230,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
68700831,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
66289783,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
66375524,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
65889825,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
64048335,,2,Tension d'approvisionnement,20/02/2025,24/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedebrimonidine022mgmlcollyreensolutionbrimonidine
62119972,,2,Tension d'approvisionnement,23/01/2025,21/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/moventig125mgcomprimepelliculenaloxegoloxalatede
62964361,,1,Rupture de stock,27/01/2025,21/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/moventig25mgcomprimepelliculenaloxegoloxalatede
65195181,,2,Tension d'approvisionnement,13/02/2025,21/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/methylprednisolonehikma40mgpoudrepoursolutioninjectablemethylprednisolonehydrogenosuccinatesodiquede
66592983,,2,Tension d'approvisionnement,19/02/2025,20/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/medikinet30mggelulealiberationmodifieemethylphenidatechlorhydratede
63784708,,3,Arrêt de commercialisation,01/03/2025,20/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/elvorine25mg25ml50mg5ml100mg10mlet175mg175mlsolutioninjectablelevofolinatedecalcium
62645381,,3,Arrêt de commercialisation,01/03/2026,20/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/elvorine25mg25ml50mg5ml100mg10mlet175mg175mlsolutioninjectablelevofolinatedecalcium
68240500,,3,Arrêt de commercialisation,01/03/2027,20/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/elvorine25mg25ml50mg5ml100mg10mlet175mg175mlsolutioninjectablelevofolinatedecalcium
65261375,,3,Arrêt de commercialisation,01/03/2028,20/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/elvorine25mg25ml50mg5ml100mg10mlet175mg175mlsolutioninjectablelevofolinatedecalcium
64606555,,2,Tension d'approvisionnement,22/01/2025,18/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/synacthene025mg1mlsolutioninjectabletetracosactide
64696734,,2,Tension d'approvisionnement,03/05/2024,18/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/unalfa050microgrammecapsulemollealfacalcidol
61475677,,1,Rupture de stock,05/02/2025,17/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/hemosolb0solutionpourhemodialysehemofiltrationcalciumchlorurededihydratelactiqueacidemagnesiumchloruredehexahydratesodiumbicarbonatedesodiumchlorurede
61331730,,2,Tension d'approvisionnement,25/11/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/colchimaxcomprimepelliculesecableetcolchicineopocalcium1mgcomprimesecablecolchicineopiumpoudredtiemoniummetilsulfatede
65662076,,1,Rupture de stock,10/02/2025,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/bitildiemlp120mgcomprimeenrobealiberationprolongeediltiazemchlorhydratede
65635346,,2,Tension d'approvisionnement,06/02/2025,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/celsiorsolutionpourconservationdorganesacideglutamiquecalciumchlorurededihydrateglutathionhistidinelactobioniqueacidemagnesiumchloruredehexahydratemannitolpotassiumchloruredesodiumhydroxydede
66346693,3400955024323,2,Tension d'approvisionnement,01/09/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/heparinecalciquepanpharma25000uimlsolutioninjectableenseringueprerempliescde02ml03mletsolutioninjectableenampoule05mlheparinecalcique
64304674,,4,Remise à disposition,12/02/2025,12/02/2025,12/02/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/yellox09mgmlcollyreensolutionbromfenacsodiquesesquihydrate
64741268,3400955044994,2,Tension d'approvisionnement,22/04/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/heparinecalcique25000uimlsolutioninjectableenseringueprerempliescde02mlet03mlcalciparine5000ui02mlet7500ui03mlsolutioninjectableenseringueprerempliescheparinecalcique
64741268,3400955044987,2,Tension d'approvisionnement,22/04/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/heparinecalcique25000uimlsolutioninjectableenseringueprerempliescde02mlet03mlcalciparine5000ui02mlet7500ui03mlsolutioninjectableenseringueprerempliescheparinecalcique
69636132,,2,Tension d'approvisionnement,22/04/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/heparinecalcique25000uimlsolutioninjectableenseringueprerempliescde02mlet03mlcalciparine5000ui02mlet7500ui03mlsolutioninjectableenseringueprerempliescheparinecalcique
62187140,,2,Tension d'approvisionnement,22/04/2024,12/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/heparinecalcique25000uimlsolutioninjectableenseringueprerempliescde02mlet03mlcalciparine5000ui02mlet7500ui03mlsolutioninjectableenseringueprerempliescheparinecalcique
60535915,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
64174946,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
69436263,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
60401186,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
69256226,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
66903224,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
67762538,,2,Tension d'approvisionnement,11/12/2024,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/lenalidomidemylangelulelenalidomide
62428577,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
67368493,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
62146161,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
68707466,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
62955519,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
60254754,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
60460996,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
61876620,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
60786390,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
62539684,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
68190442,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
67174289,,3,Arrêt de commercialisation,01/03/2025,11/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/tsoludosesolutionbuvableenrecipientunidoselevothyroxine
63011070,,2,Tension d'approvisionnement,01/02/2025,10/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/baclofeneeg10mgcomprimesecablebaclofene
64073783,,2,Tension d'approvisionnement,01/02/2025,10/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/baclofenezentiva10mgcomprimesecablebaclofene
60301200,,4,Remise à disposition,18/02/2025,18/02/2025,18/02/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/curosurfsuspensionpourinstillationendotracheobronchiqueporactantalfa
64447081,,4,Remise à disposition,18/02/2025,18/02/2025,18/02/2025,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/curosurfsuspensionpourinstillationendotracheobronchiqueporactantalfa
60815657,,1,Rupture de stock,10/06/2024,07/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/etoposideaccord20mgmlsolutionadiluerpourperfusionetoposide
69235837,,2,Tension d'approvisionnement,16/08/2024,07/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/rythmodan250mgaliberationprolongeecomprimeenrobedisopyramidephosphatede
62059557,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
66377564,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
68463581,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
67647226,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
61684812,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
65819403,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
67699080,,2,Tension d'approvisionnement,15/01/2025,06/02/2025,,https://ansmsantefr/disponibilitesdesproduitsdesante/medicaments/specialitesabasedelevofloxacine500mgencomprimepelliculesecablelevofloxacine
